Grouping,Subset,Property,GroupA,GroupB,nA,nB,MedianA,MedianB,CliffsDelta,DeltaMag,MWU_p,KS_stat,KS_p,MWU_p_BH,KS_p_BH
condition,all,GRAVY,MagReSyn 2% TFA,Cytiva 20% FA,494,508,-0.626,-0.567,-0.119,negligible,0.0011404125877898582,0.201,2.528427459543413e-09,0.02052742658021745,4.551169427178143e-08
condition,all,GRAVY,MagReSyn 10% FA,MagReSyn 20% FA,582,477,-0.593,-0.563,-0.011,negligible,0.751276127883176,0.057,0.3506108664984224,0.9072726747990306,0.4507853997836859
condition,all,GRAVY,MagReSyn 10% FA,Cytiva 0.5% TFA,582,568,-0.593,-0.6,0.041,negligible,0.23015837924850913,0.04,0.715869452962102,0.5506176354183049,0.7363228659038764
condition,all,GRAVY,MagReSyn 10% FA,Cytiva 2% TFA,582,439,-0.593,-0.564,0.03,negligible,0.4091578715051737,0.105,0.007335604416120894,0.6979710056475049,0.02031398146002709
condition,all,GRAVY,MagReSyn 10% FA,Cytiva 10% FA,582,544,-0.593,-0.598,0.002,negligible,0.959410668558817,0.044,0.6268557943395451,0.9594106685588168,0.6637296645948124
condition,all,GRAVY,MagReSyn 10% FA,Cytiva 20% FA,582,508,-0.593,-0.567,-0.03,negligible,0.38846069893859203,0.058,0.3095500427058481,0.6979710056475049,0.4164213598773801
condition,all,GRAVY,MagReSyn 20% FA,Cytiva 0.5% TFA,477,568,-0.563,-0.6,0.052,negligible,0.1496096783876937,0.085,0.04287237688923659,0.5106587819433012,0.11024325485803696
condition,all,GRAVY,MagReSyn 20% FA,Cytiva 2% TFA,477,439,-0.563,-0.564,0.03,negligible,0.4349524522059063,0.084,0.07378924681993167,0.6979710056475049,0.16602580534484626
condition,all,GRAVY,MagReSyn 20% FA,Cytiva 10% FA,477,544,-0.563,-0.598,0.012,negligible,0.7387088999856148,0.065,0.21972016035652148,0.9072726747990306,0.34390981621020755
condition,all,GRAVY,MagReSyn 20% FA,Cytiva 20% FA,477,508,-0.563,-0.567,-0.016,negligible,0.6672918249041875,0.068,0.19351363993318516,0.8897224332055833,0.33173766845688885
condition,all,GRAVY,Cytiva 0.5% TFA,Cytiva 2% TFA,568,439,-0.6,-0.564,-0.009,negligible,0.8096254488053031,0.12,0.0013504320419734507,0.9072726747990306,0.0044195957737312936
condition,all,GRAVY,Cytiva 0.5% TFA,Cytiva 10% FA,568,544,-0.6,-0.598,-0.04,negligible,0.24471894907480218,0.045,0.5923101875083315,0.5506176354183049,0.6461565681909072
condition,all,GRAVY,Cytiva 0.5% TFA,Cytiva 20% FA,568,508,-0.6,-0.567,-0.073,negligible,0.03800023121224464,0.076,0.08664852234028605,0.19542976052011532,0.18349098848531165
condition,all,GRAVY,Cytiva 2% TFA,Cytiva 10% FA,439,544,-0.564,-0.598,-0.026,negligible,0.4847020872552118,0.122,0.001278066318661139,0.6979710056475049,0.0044195957737312936
condition,all,GRAVY,Cytiva 2% TFA,Cytiva 20% FA,439,508,-0.564,-0.567,-0.049,negligible,0.19695160177416937,0.145,8.9987231217376e-05,0.5106587819433012,0.00040494254047819203
condition,all,GRAVY,Cytiva 10% FA,Cytiva 20% FA,544,508,-0.598,-0.567,-0.033,negligible,0.3573174248284787,0.054,0.4065148223904625,0.6979710056475049,0.487817786868555
bead type,no-histone,Mass_kDa,MCW,MagReSyn,331,508,12.441,14.134,-0.123,negligible,0.0026292113295391865,0.107,0.01826197760466193,0.00788763398861756,0.05478593281398579
bead type,no-histone,Mass_kDa,MCW,Cytiva,331,408,12.441,13.682,-0.097,negligible,0.023488254159217313,0.075,0.23578990339194414,0.035232381238825966,0.3536848550879162
bead type,no-histone,Mass_kDa,MagReSyn,Cytiva,508,408,14.134,13.682,0.031,negligible,0.4187476414363829,0.049,0.6141224648750662,0.4187476414363829,0.6141224648750662
bead type,no-histone,IsoelectricPoint,MCW,MagReSyn,331,508,8.887,8.418,0.125,negligible,0.0022273178246498544,0.124,0.0037769618938483106,0.006681953473949563,0.011330885681544932
bead type,no-histone,IsoelectricPoint,MCW,Cytiva,331,408,8.887,8.887,0.027,negligible,0.5342630139247705,0.048,0.7766456506258314,0.5342630139247705,0.7766456506258314
bead type,no-histone,IsoelectricPoint,MagReSyn,Cytiva,508,408,8.418,8.887,-0.098,negligible,0.010897946929919616,0.103,0.015486057893970874,0.01634692039487942,0.02322908684095631
bead type,no-histone,GRAVY,MCW,MagReSyn,331,508,-0.619,-0.623,0.009,negligible,0.8192395142522051,0.047,0.7548435737024606,0.8192395142522052,0.7548435737024605
bead type,no-histone,GRAVY,MCW,Cytiva,331,408,-0.619,-0.671,0.078,negligible,0.06776419596730288,0.084,0.13704361580519744,0.10164629395095431,0.20556542370779618
bead type,no-histone,GRAVY,MagReSyn,Cytiva,508,408,-0.623,-0.671,0.076,negligible,0.047204867268976596,0.092,0.04042013253166928,0.10164629395095431,0.12126039759500784
condition,no-histone,Mass_kDa,MCW,MagReSyn 0.5% TFA,331,335,12.441,13.704,-0.091,negligible,0.04224089317649568,0.083,0.1901352855737137,0.12526436410662792,0.3802705711474274
condition,no-histone,Mass_kDa,MCW,MagReSyn 2% TFA,331,239,12.441,11.834,0.018,negligible,0.7188306666546224,0.065,0.5623784127271215,0.8625967999855468,0.7786778022375529
condition,no-histone,Mass_kDa,MCW,MagReSyn 10% FA,331,304,12.441,14.485,-0.11,negligible,0.017003866740681006,0.098,0.0854039481969848,0.0874484575235023,0.21961015250653235
condition,no-histone,Mass_kDa,MCW,MagReSyn 20% FA,331,233,12.441,13.433,-0.085,negligible,0.08630023303781295,0.08,0.3195810688044858,0.1827534346683098,0.5478532608076899
condition,no-histone,Mass_kDa,MCW,Cytiva 0.5% TFA,331,269,12.441,14.43,-0.108,negligible,0.02342619174126285,0.094,0.1301350113704583,0.10337542183213833,0.28953754777337204
condition,no-histone,Mass_kDa,MCW,Cytiva 2% TFA,331,206,12.441,12.239,-0.008,negligible,0.8725416804865147,0.071,0.5176103154038866,0.9121552813436009,0.7453588541815966
condition,no-histone,Mass_kDa,MCW,Cytiva 10% FA,331,229,12.441,12.337,-0.012,negligible,0.8096237871035679,0.047,0.904319876801672,0.910783918457155,0.9998519213640384
condition,no-histone,Mass_kDa,MCW,Cytiva 20% FA,331,196,12.441,11.808,0.072,negligible,0.1656002133603106,0.093,0.21761231261299682,0.2608106312830028,0.4123180660035729
condition,no-histone,Mass_kDa,MagReSyn 0.5% TFA,MagReSyn 2% TFA,335,239,13.704,11.834,0.109,negligible,0.02584385545803458,0.137,0.009376237772985683,0.10337542183213833,0.03750495109194273
condition,no-histone,Mass_kDa,MagReSyn 0.5% TFA,MagReSyn 10% FA,335,304,13.704,14.485,-0.018,negligible,0.6878024402761977,0.029,0.9982981119307748,0.8538237189635558,0.9998519213640384
condition,no-histone,Mass_kDa,MagReSyn 0.5% TFA,MagReSyn 20% FA,335,233,13.704,13.433,0.01,negligible,0.8348852585857255,0.051,0.8412896816124718,0.910783918457155,0.9998519213640384
condition,no-histone,Mass_kDa,MagReSyn 0.5% TFA,Cytiva 0.5% TFA,335,269,13.704,14.43,-0.012,negligible,0.8078062308694625,0.04,0.9627083307800784,0.910783918457155,0.9998519213640384
